playerName,rank,ace,serPt,df,p_1stSerIn,p_2ndSerIn,p_1stWon,p_2ndWon,bpSaved,bpFaced,bpConverted,bpGet,retPtWon,retPt,serGmWon,serGm,retGmWon,retGm
Rogerio Dutra Silva,88,148,3415,115,2102,1198,1372,632,192,361,79,215,1235,3315,358,527,79,537
Andreas Seppi,75,2882,49313,1705,28727,18881,20167,10343,2677,4503,1794,4449,20782,49855,5807,7633,1794,7721
Steve Darcis,59,743,13938,372,8437,5129,5878,2831,693,1190,441,1122,5481,13738,1669,2166,441,2163
Juan Monaco,65,1307,43944,1123,29808,13013,19418,7425,2292,4062,2025,4741,20147,45224,5074,6844,2025,6888
Dustin Brown,84,1179,11099,575,6809,3715,5037,2094,603,925,282,776,4065,10748,1375,1697,282,1715
Gilles Simon,24,2996,54652,1493,31037,22122,21583,12252,2988,4942,2252,5254,23453,54331,6437,8391,2252,8306
Konstantin Kravchuk,86,187,1715,64,1081,570,775,315,95,154,38,111,611,1686,207,266,38,265
Stanislas Wawrinka,3,4695,55946,1832,32277,21837,23713,12699,2683,4224,2031,5112,23308,56463,7246,8787,2031,8636
Dudi Sela,72,584,19881,738,11987,7156,7937,3987,1135,2016,751,1879,8519,20147,2213,3094,751,3121
Jo Wilfried Tsonga,14,5471,44994,1344,28049,15601,21704,8989,1918,2860,1469,3686,17827,45624,6336,7278,1469,7197
John Isner,23,8839,44761,1159,30732,12870,23973,7864,1541,2168,768,2511,15081,44518,6582,7209,768,7132
Horacio Zeballos,69,933,12545,403,7753,4389,5468,2428,675,1089,281,786,4149,11765,1517,1931,281,1927
Marcos Baghdatis,35,3828,42826,1728,22676,18422,16939,10444,2050,3399,1537,3794,18015,43594,5376,6725,1537,6721
Nicolas Almagro,44,5347,50274,1621,29216,19437,21852,11123,2299,3696,1742,4476,20867,51542,6596,7993,1742,7951
Tomas Berdych,12,6510,63842,2078,36975,24789,28448,14114,2804,4425,2471,5947,27617,65875,8714,10335,2471,10172
Pablo Cuevas,20,1623,20974,692,12711,7571,9023,4280,1101,1809,688,1737,8421,20943,2564,3272,688,3291
Viktor Troicki,37,3686,35611,1112,21550,12949,15631,6677,1896,3178,1345,3293,15022,36073,4284,5566,1345,5587
Marcel Granollers,39,1603,30486,933,18577,10976,12737,5852,1654,2899,1130,2804,12709,30795,3526,4771,1130,4822
Kevin Anderson,74,4844,33012,1264,21322,10426,16225,6173,1445,2202,876,2426,12816,33675,4566,5323,876,5279
Rafael Nadal,6,2817,70351,1497,48450,20404,34691,12447,3279,4977,3781,8386,34248,74996,9781,11479,3781,11445
Richard Gasquet,22,3939,53233,1676,32858,18699,24085,10924,2348,3856,2114,5142,22676,54338,7088,8596,2114,8433
Gael Monfils,9,5039,47416,2046,29260,16110,21415,9063,2301,3742,1882,4576,20351,48717,6047,7488,1882,7505
Denis Istomin,77,2458,29647,673,19252,9722,13643,5340,1530,2485,888,2286,11660,29579,3692,4647,888,4631
Jeremy Chardy,68,3341,33216,1752,19646,11818,14622,6744,1719,2721,1012,2668,13129,33321,4185,5187,1012,5226
Robin Haase,57,2001,26195,857,15673,9665,11163,5191,1371,2278,830,2104,10087,25726,3138,4045,830,4067
Andy Murray,1,5413,61688,1955,35830,23903,26763,13424,2935,4688,3098,7127,29580,64782,8092,9845,3098,9760
Novak Djokovic,2,4769,67832,1987,43880,21965,32189,13273,3015,4594,3437,7722,32287,70751,9383,10962,3437,10658
Fabio Fognini,45,1432,36889,1811,21637,13441,14515,7274,2116,3762,1539,3575,15589,36217,3954,5600,1539,5645
Mischa Zverev,34,975,16203,416,10619,5168,7245,2705,943,1568,521,1328,6501,16285,1859,2484,521,2526
Illya Marchenko,91,556,9902,518,5712,3672,4027,1978,574,956,314,794,3795,9635,1116,1498,314,1516
Sam Querrey,27,6168,41059,1697,24306,15056,19029,8456,1740,2763,1145,3091,15786,41383,5592,6615,1145,6529
